Student_ID,Class,Gender,Attendance_Percentage,Maths_Marks,Science_Marks,English_Marks,Assignment_Score,Study_Hours_Per_Day,Previous_Marks,Average_Marks,Attendance_Category
ST028,10th,Female,63.3,75.6,93.8,82.0,78.1,2.9,70.8,83.8,Low
ST029,10th,Female,98.1,66.0,68.5,73.8,48.1,2.0,74.0,69.4,Excellent
ST030,10th,Female,87.3,82.2,70.7,75.2,83.1,2.2,74.7,76.0,Good
ST031,9th,Female,78.3,79.7,69.8,83.0,100.0,2.2,63.0,77.5,Average
ST032,10th,Male,76.5,75.5,62.4,66.5,63.8,1.7,59.3,68.1,Average
ST033,9th,Male,92.4,89.8,73.3,92.8,100.0,3.2,63.2,85.3,Excellent
ST034,9th,Female,84.3,84.3,71.6,72.0,77.2,2.0,76.3,76.0,Good
ST035,10th,Female,66.7,57.9,68.3,66.9,44.1,3.0,68.3,64.4,Low
ST036,9th,Male,85.6,77.7,75.2,86.0,70.4,2.6,79.6,79.6,Good
ST037,10th,Male,93.4,83.2,77.9,76.8,91.0,2.8,75.7,79.3,Excellent
ST038,10th,Female,90.6,70.6,65.7,68.8,99.0,3.5,42.7,68.4,Excellent
ST039,8th,Male,75.7,83.6,95.4,91.4,83.6,2.1,73.0,90.1,Average
ST040,10th,Female,68.6,77.7,87.0,72.2,93.8,3.6,97.0,79.0,Low
ST041,8th,Male,78.7,78.0,76.9,76.5,60.9,4.7,85.9,77.1,Average
ST042,10th,Female,100.0,74.3,98.4,80.5,66.8,3.2,75.1,84.4,Excellent
ST043,10th,Male,66.6,65.4,60.9,59.6,54.8,1.9,57.3,62.0,Low
ST044,8th,Female,73.6,53.0,66.0,61.7,67.7,2.1,75.7,60.2,Average
ST045,8th,Male,85.9,79.0,83.4,56.4,84.1,2.5,78.9,73.0,Good
ST046,10th,Male,80.8,64.1,61.8,63.9,77.6,2.1,67.0,63.3,Good
ST047,9th,Female,80.0,83.2,65.0,89.2,85.4,1.6,73.8,79.1,Good
ST048,8th,Male,100.0,69.3,84.0,81.0,63.8,3.0,88.1,78.1,Excellent
ST049,9th,Female,73.5,79.3,71.4,69.5,64.5,2.5,59.7,73.4,Average
ST050,9th,Male,81.9,77.7,67.0,74.0,77.5,3.0,57.3,72.9,Good
ST051,9th,Female,84.0,76.7,77.8,81.7,67.8,4.2,78.3,78.7,Good
ST052,8th,Male,74.0,65.3,75.6,74.1,90.6,2.5,75.5,71.7,Average
ST053,9th,Female,67.6,68.2,63.0,61.3,67.5,1.4,82.3,64.2,Low
ST054,8th,Male,84.7,72.6,76.9,70.3,69.1,2.3,76.8,73.3,Good
ST055,9th,Female,100.0,85.6,91.7,95.8,80.0,3.7,63.2,91.0,Excellent
ST056,10th,Male,86.0,66.8,72.8,77.3,70.3,3.6,75.2,72.3,Good
ST057,10th,Female,82.9,60.8,71.2,56.0,60.2,3.4,56.3,62.7,Good
ST058,8th,Female,82.8,76.3,79.9,63.5,61.8,2.1,67.0,73.2,Good
ST059,10th,Female,79.4,93.6,100.0,93.8,81.5,3.7,76.0,95.8,Average
ST060,10th,Male,93.8,73.2,67.3,73.7,58.7,4.0,65.7,71.4,Excellent
ST061,9th,Female,76.9,83.6,88.7,73.1,91.8,2.0,99.6,81.8,Average
ST062,8th,Male,68.4,59.9,69.3,46.7,66.7,2.8,47.3,58.6,Low
ST063,9th,Female,66.2,70.2,72.9,76.6,82.4,5.2,63.4,73.2,Low
ST064,9th,Male,82.8,60.7,65.7,66.1,67.4,1.9,58.7,64.2,Good
ST065,9th,Female,92.6,50.5,53.5,36.4,64.0,0.8,61.6,46.8,Excellent
ST066,9th,Male,84.4,71.4,90.5,78.6,78.0,4.5,62.3,80.2,Good
ST067,9th,Male,78.8,78.0,67.4,73.7,87.6,4.2,54.1,73.0,Average
ST068,9th,Female,86.6,80.4,61.1,76.6,72.0,2.3,79.0,72.7,Good
ST069,9th,Male,83.9,69.2,65.5,55.2,74.2,2.7,63.4,63.3,Good
ST070,8th,Male,90.3,69.5,66.1,63.7,84.7,1.3,72.0,66.5,Excellent
ST071,10th,Female,95.3,65.5,91.6,80.3,85.1,2.9,64.8,79.1,Excellent
ST072,9th,Male,72.5,87.8,81.0,85.7,74.5,4.2,61.7,84.8,Average
ST073,9th,Male,58.6,58.1,58.2,63.0,69.7,2.1,90.1,59.8,Low
ST074,9th,Male,78.5,67.5,76.3,69.4,76.0,3.9,81.1,71.1,Average
ST075,9th,Female,71.8,62.1,65.8,68.5,72.7,3.4,47.6,65.5,Average
ST076,9th,Male,90.3,76.8,100.0,84.9,78.8,3.5,46.3,87.3,Excellent
ST077,9th,Female,74.8,78.0,72.0,76.6,60.7,2.2,82.5,75.5,Average
ST078,10th,Male,63.2,54.4,53.7,55.3,78.3,2.4,63.8,54.5,Low
ST079,10th,Male,76.3,52.4,61.1,63.9,66.4,0.6,50.2,59.1,Average
ST080,9th,Male,67.1,59.5,62.3,63.3,85.9,2.1,82.5,61.7,Low
ST081,10th,Female,97.9,92.3,72.0,100.0,66.9,4.2,72.0,88.1,Excellent
ST082,8th,Male,86.7,80.8,79.8,79.6,67.1,1.7,73.0,80.1,Good
ST083,9th,Male,88.5,76.2,85.2,88.3,80.3,1.9,79.7,83.3,Good
ST084,8th,Female,87.4,80.1,72.5,74.0,75.2,3.6,54.3,75.6,Good
ST085,8th,Male,90.4,66.5,81.2,73.0,100.0,3.3,50.4,73.6,Excellent
ST086,9th,Female,93.3,53.4,62.2,52.3,55.4,3.6,89.0,55.9,Excellent
ST087,10th,Female,76.6,61.9,55.1,54.3,76.3,1.4,52.8,57.1,Average
ST088,8th,Male,67.8,60.0,55.6,64.9,88.6,5.9,55.3,60.2,Low
ST089,9th,Female,73.5,63.6,65.0,66.5,68.1,1.3,57.7,65.0,Average
ST090,8th,Male,81.5,72.3,78.0,66.8,64.1,3.0,95.0,72.3,Good
ST091,8th,Female,56.4,77.6,57.4,63.1,64.5,2.6,75.9,66.0,Low
ST092,8th,Female,93.4,100.0,80.1,64.0,55.7,1.4,81.6,81.4,Excellent
ST093,8th,Male,63.0,72.4,87.6,75.2,91.2,2.4,72.4,78.4,Low
ST094,10th,Female,88.0,64.5,59.2,65.6,71.0,2.8,62.8,63.1,Good
ST095,8th,Female,80.3,64.6,65.3,65.5,69.6,2.0,77.6,65.1,Good
ST096,8th,Female,84.9,65.5,71.5,61.6,49.5,3.9,51.3,66.2,Good
ST097,8th,Female,77.3,50.4,69.2,75.8,57.8,2.6,56.9,65.1,Average
ST098,10th,Female,84.2,74.7,77.9,72.9,92.6,1.2,78.8,75.2,Good
ST099,8th,Male,77.3,62.1,40.1,63.9,78.6,1.1,53.7,55.4,Average
ST100,8th,Female,76.4,84.1,79.6,78.1,89.0,3.5,67.7,80.6,Average
ST101,10th,Male,73.0,80.3,65.7,79.9,87.5,1.0,68.3,75.3,Average
ST102,10th,Female,97.3,68.9,70.6,66.7,63.0,3.2,63.7,68.7,Excellent
ST103,10th,Male,85.7,84.9,74.0,85.5,100.0,3.3,46.6,81.5,Good
ST104,8th,Male,84.1,88.2,92.2,62.1,98.4,1.6,62.5,80.8,Good
ST105,10th,Female,73.2,76.2,80.4,81.2,68.2,3.9,60.1,79.3,Average
ST106,10th,Female,79.7,55.1,51.3,47.0,32.2,0.7,71.9,51.1,Average
ST107,8th,Female,72.1,51.3,51.6,60.7,70.7,3.2,71.3,54.5,Average
ST108,10th,Male,77.1,58.0,69.1,71.6,77.9,2.8,74.5,66.3,Average
ST109,8th,Female,69.9,64.9,77.3,74.1,68.2,2.7,61.9,72.1,Low
ST110,9th,Male,97.9,84.0,86.5,90.8,72.3,1.4,76.3,87.1,Excellent
ST111,10th,Male,74.4,41.4,45.0,40.8,65.1,1.7,51.3,42.4,Average
ST112,9th,Male,73.2,64.2,59.9,73.2,86.1,4.7,48.1,65.8,Average
ST113,8th,Female,68.7,61.0,68.2,58.5,75.8,4.3,42.0,62.5,Low
ST114,10th,Female,74.3,81.5,80.0,69.4,86.4,3.7,64.0,77.0,Average
ST115,8th,Male,77.1,77.1,91.3,84.2,89.7,3.9,61.0,84.2,Average
ST116,9th,Male,81.5,48.1,56.2,62.4,48.9,3.8,79.5,55.6,Good
ST117,8th,Female,75.5,57.3,60.7,58.3,65.8,2.4,62.2,58.8,Average
ST118,10th,Male,66.0,66.3,65.5,53.5,67.5,2.9,73.3,61.8,Low
ST119,10th,Female,66.9,61.8,67.1,69.5,100.0,1.0,79.8,66.1,Low
ST120,9th,Male,88.8,78.8,81.4,79.5,76.8,2.7,61.8,79.9,Good
ST121,8th,Female,80.8,74.8,85.6,79.3,84.8,4.2,73.6,79.9,Good
ST122,10th,Male,88.5,74.5,76.5,59.8,52.4,2.0,82.0,70.3,Good
ST123,9th,Female,89.8,92.3,65.4,72.6,76.7,4.0,55.1,76.8,Good
ST124,10th,Male,83.5,79.1,85.8,91.6,86.7,2.9,70.3,85.5,Good
ST125,10th,Female,69.7,53.3,68.8,54.7,85.3,1.1,61.8,58.9,Low
ST126,8th,Female,83.9,65.7,68.7,59.4,82.5,1.5,55.9,64.6,Good
ST127,10th,Male,96.0,63.0,68.4,75.6,75.2,3.9,51.6,69.0,Excellent
ST128,8th,Male,77.5,68.4,69.7,57.4,75.7,3.5,55.7,65.2,Average
ST129,10th,Female,85.4,67.6,67.5,62.4,54.7,2.9,70.7,65.8,Good
ST130,9th,Male,81.9,80.2,78.6,59.8,64.2,2.5,50.7,72.8,Good
ST131,10th,Female,95.7,77.8,84.7,87.1,77.8,3.1,63.4,83.2,Excellent
ST132,8th,Male,75.2,59.6,51.9,66.0,66.4,3.9,79.8,59.2,Average
ST133,8th,Female,93.5,79.0,82.9,87.4,83.3,4.6,75.4,83.1,Excellent
ST134,9th,Female,78.2,81.4,79.9,82.9,80.6,4.6,63.6,81.4,Average
ST135,10th,Female,75.1,77.6,87.5,72.3,91.4,3.2,90.3,79.1,Average
ST136,10th,Female,83.1,78.7,70.4,75.7,86.5,2.6,92.7,75.0,Good
ST137,9th,Female,85.4,86.0,77.2,71.6,77.7,3.0,70.3,78.2,Good
ST138,10th,Female,100.0,67.2,69.0,78.8,84.0,3.4,40.4,71.7,Excellent
ST139,10th,Male,85.2,91.7,100.0,100.0,87.1,3.4,80.6,97.2,Good
ST140,8th,Male,83.9,79.2,73.5,71.8,68.9,4.4,42.5,74.8,Good
ST141,10th,Male,98.0,97.0,91.9,98.7,71.0,5.3,87.7,95.9,Excellent
ST142,10th,Female,88.0,78.5,77.4,83.5,73.8,2.6,83.0,79.8,Good
ST143,9th,Female,75.6,66.6,50.7,72.4,69.3,5.4,91.3,63.2,Average
ST144,9th,Female,95.6,74.2,98.6,80.6,87.2,4.2,73.1,84.5,Excellent
ST145,8th,Female,74.6,56.5,52.0,52.5,67.5,2.7,65.7,53.7,Average
ST146,10th,Male,75.5,92.2,84.0,79.0,90.0,4.6,64.6,85.1,Average
ST147,10th,Male,73.5,79.0,70.3,79.0,70.6,4.8,63.4,76.1,Average
ST148,10th,Female,72.6,72.4,65.8,63.8,80.7,2.2,81.8,67.4,Average
ST149,8th,Male,85.3,91.6,98.4,95.6,77.0,4.9,78.5,95.2,Good
ST150,8th,Male,79.4,72.7,52.0,62.6,63.3,4.1,71.4,62.4,Average
ST151,9th,Female,47.2,76.7,74.1,66.6,74.8,5.6,61.3,72.5,Low
ST152,8th,Male,79.3,82.7,69.6,72.0,79.0,2.3,100.0,74.8,Average
ST153,10th,Female,76.8,51.9,59.9,65.0,74.2,2.4,80.9,59.0,Average
ST154,10th,Male,90.9,43.2,63.1,54.9,58.9,0.5,50.8,53.7,Excellent
ST155,8th,Female,76.4,71.5,79.8,78.6,95.4,3.5,63.8,76.7,Average
ST156,10th,Female,100.0,89.7,82.3,93.9,76.1,3.3,81.2,88.6,Excellent
ST157,10th,Female,96.0,72.0,71.6,83.5,65.5,2.1,60.4,75.7,Excellent
ST158,8th,Female,78.1,95.2,69.8,78.4,94.4,2.7,74.2,81.1,Average
ST159,8th,Male,93.5,68.1,71.9,64.3,82.4,1.2,81.4,68.1,Excellent
ST160,10th,Female,87.3,71.9,81.0,61.0,60.6,4.2,30.0,71.3,Good
ST161,10th,Female,84.3,79.5,63.3,91.4,62.5,2.2,68.7,78.1,Good
ST162,10th,Female,90.0,85.3,81.6,96.0,72.3,6.5,69.2,87.6,Excellent
ST163,9th,Male,82.5,69.9,82.0,83.2,78.6,2.6,65.1,78.3,Good
ST164,9th,Female,84.4,85.7,87.6,97.8,82.5,1.9,73.6,90.4,Good
ST165,9th,Male,90.2,98.2,82.5,74.8,86.4,2.3,77.9,85.2,Excellent
ST166,8th,Female,100.0,60.2,67.7,73.3,81.5,1.1,71.7,67.1,Excellent
ST167,9th,Male,84.5,59.0,69.2,71.8,91.2,3.4,65.5,66.6,Good
ST168,8th,Male,77.5,73.6,68.9,62.4,76.5,2.3,77.6,68.3,Average
ST169,8th,Female,61.7,68.7,68.8,65.3,65.9,4.2,70.6,67.6,Low
ST170,9th,Male,100.0,85.2,88.2,81.4,75.0,2.5,67.2,84.9,Excellent
ST171,9th,Female,79.4,65.9,57.3,62.9,74.2,4.5,54.3,62.0,Average
ST172,9th,Female,87.3,50.6,64.3,60.7,44.1,3.7,51.2,58.5,Good
ST173,10th,Female,100.0,70.0,65.5,76.9,68.3,2.8,54.0,70.8,Excellent
ST174,9th,Male,84.3,80.6,67.5,75.8,78.8,4.7,73.3,74.6,Good
ST175,10th,Male,80.1,84.1,75.3,63.8,69.9,3.9,69.1,74.4,Good
ST176,8th,Female,96.2,69.2,64.3,87.6,67.2,6.3,52.2,73.7,Excellent
ST177,10th,Female,86.6,83.2,75.0,72.6,85.9,2.3,77.8,76.9,Good
ST178,9th,Male,87.9,72.6,67.4,72.1,64.0,2.9,86.5,70.7,Good
ST179,8th,Female,66.8,68.4,56.0,71.1,83.5,4.7,62.8,65.2,Low
ST180,8th,Female,94.1,66.6,59.3,68.8,59.0,0.9,49.1,64.9,Excellent
ST181,8th,Female,85.8,79.5,88.3,94.7,100.0,4.4,61.5,87.5,Good
ST182,10th,Male,68.3,67.7,69.3,67.4,72.4,3.3,80.3,68.2,Low
ST183,9th,Male,86.9,45.5,45.7,49.6,71.1,1.7,76.6,46.9,Good
ST184,8th,Male,61.4,60.2,77.4,77.5,88.7,1.2,58.9,71.7,Low
ST185,8th,Female,100.0,75.5,69.8,67.7,70.0,2.0,88.3,71.0,Excellent
ST186,8th,Female,71.0,76.0,80.9,72.5,92.5,0.5,86.2,76.5,Average
ST187,10th,Female,98.1,63.2,57.8,60.4,79.5,2.2,61.2,60.5,Excellent
ST188,10th,Male,73.9,85.3,77.3,73.7,73.6,3.5,61.1,78.8,Average
ST189,9th,Female,87.6,96.7,89.7,93.0,72.3,2.2,62.9,93.2,Good
ST190,10th,Female,72.9,86.4,75.8,96.0,89.5,4.5,63.9,86.1,Average
ST191,8th,Female,92.0,80.2,91.5,81.7,77.8,4.8,81.4,84.5,Excellent
ST192,9th,Female,79.6,83.0,58.3,83.2,80.2,4.3,75.1,74.8,Average
ST193,8th,Male,86.7,85.0,100.0,81.6,81.5,3.1,80.5,88.9,Good
ST194,8th,Male,82.2,82.6,77.4,70.5,76.6,0.5,78.1,76.8,Good
ST195,10th,Female,68.3,77.2,76.7,88.7,81.2,2.0,90.6,80.9,Low
ST196,9th,Male,87.0,62.1,60.2,58.1,73.6,2.6,57.3,60.1,Good
ST197,10th,Male,77.0,65.5,62.8,61.8,74.4,1.7,74.6,63.4,Average
ST198,10th,Female,92.5,61.9,65.7,60.1,61.6,2.6,43.9,62.6,Excellent
ST199,9th,Female,79.6,69.7,74.4,70.4,78.6,4.7,54.2,71.5,Average
ST200,8th,Male,81.2,62.6,57.9,62.0,54.4,0.8,69.1,60.8,Good
ST201,8th,Female,98.8,81.9,88.3,81.6,78.4,5.0,75.0,83.9,Excellent
ST202,9th,Male,100.0,92.4,80.4,87.9,71.6,3.9,68.8,86.9,Excellent
ST203,8th,Female,89.9,66.8,59.7,73.1,79.5,3.1,63.2,66.5,Good
ST204,9th,Male,79.1,59.9,80.5,48.5,62.4,1.9,65.3,63.0,Average
ST205,9th,Female,78.3,53.7,65.2,55.9,49.6,1.8,86.4,58.3,Average
ST206,10th,Male,73.8,69.1,73.5,61.8,70.8,0.8,65.4,68.1,Average
ST207,9th,Male,75.7,77.8,67.7,78.7,62.4,4.9,91.0,74.7,Average
ST208,10th,Male,79.3,51.7,57.3,73.7,53.6,4.6,79.5,60.9,Average
ST209,8th,Female,100.0,86.6,76.0,73.6,84.2,1.1,75.5,78.7,Excellent
ST210,8th,Male,80.0,81.4,61.7,77.0,94.2,2.1,55.7,73.4,Good
ST211,8th,Male,69.7,66.6,77.2,68.9,65.4,3.3,81.2,70.9,Low
ST212,8th,Female,82.4,68.1,59.7,64.9,74.1,2.4,64.1,64.2,Good
ST213,10th,Female,83.8,47.5,41.5,54.3,71.3,0.5,55.7,47.8,Good
ST214,8th,Male,82.4,80.6,77.3,75.0,67.1,2.0,76.2,77.6,Good
ST215,9th,Male,90.0,76.3,74.2,91.1,83.0,5.1,53.3,80.5,Excellent
ST216,9th,Female,82.7,65.7,51.8,63.8,87.1,2.1,60.9,60.4,Good
ST217,9th,Female,89.7,78.0,72.2,68.8,64.6,2.6,69.9,73.0,Good
ST218,10th,Female,74.2,87.3,64.6,85.0,75.5,1.4,96.6,79.0,Average
ST219,8th,Female,99.8,81.0,84.2,73.4,90.4,3.5,61.8,79.5,Excellent
ST220,8th,Female,84.5,68.9,60.1,72.8,83.3,2.9,64.5,67.3,Good
ST221,8th,Male,86.0,65.1,58.4,66.3,85.1,1.9,78.8,63.3,Good
ST222,10th,Female,74.2,55.8,58.8,72.0,91.4,1.2,55.1,62.2,Average
ST223,9th,Male,86.7,86.5,90.9,97.0,91.3,4.5,75.3,91.4,Good
ST224,9th,Male,88.5,68.0,76.8,89.4,87.3,0.9,84.5,78.1,Good
ST225,8th,Male,70.3,64.1,65.0,71.7,76.7,3.4,66.3,66.9,Average
ST226,9th,Female,65.4,62.6,56.5,58.2,70.4,0.5,82.3,59.1,Low
ST227,9th,Male,84.9,69.5,74.0,72.3,76.2,3.6,73.5,71.9,Good
ST228,10th,Male,77.1,92.3,91.6,78.4,68.6,4.0,61.2,87.5,Average
ST229,10th,Female,84.6,78.3,71.5,90.6,51.6,4.1,67.6,80.1,Good
ST230,10th,Male,69.1,58.6,66.9,61.7,71.6,2.6,65.4,62.4,Low
ST231,10th,Male,66.4,71.4,74.2,69.5,79.3,4.7,68.9,71.7,Low
ST232,8th,Female,84.1,86.4,84.1,72.7,68.0,5.6,71.8,81.1,Good
ST233,10th,Male,78.5,71.6,65.2,63.9,72.7,2.4,77.1,66.9,Average
ST234,9th,Male,60.9,69.0,65.6,62.0,73.2,2.3,76.1,65.5,Low
ST235,8th,Male,95.4,75.7,71.8,59.1,91.3,3.0,40.8,68.9,Excellent
ST236,9th,Female,68.9,66.3,58.7,79.5,70.7,2.2,68.8,68.2,Low
ST237,9th,Female,100.0,94.8,86.3,83.6,91.3,2.1,51.9,88.2,Excellent
ST238,9th,Female,75.8,61.5,64.9,58.3,42.5,2.2,66.7,61.6,Average
ST239,10th,Male,86.0,61.2,91.9,88.4,91.2,4.9,68.5,80.5,Good
ST240,10th,Male,98.5,90.6,60.9,79.6,90.6,3.7,81.7,77.0,Excellent
ST241,8th,Female,96.8,81.8,85.7,82.7,85.8,2.2,69.6,83.4,Excellent
ST242,8th,Male,100.0,53.7,45.3,50.8,50.9,0.5,73.1,49.9,Excellent
ST243,10th,Male,66.8,68.4,45.2,59.9,87.2,0.9,79.5,57.8,Low
ST244,9th,Female,70.6,63.2,76.5,84.4,74.4,3.4,84.7,74.7,Average
ST245,8th,Female,84.3,54.0,55.6,51.3,44.6,0.5,68.5,53.6,Good
ST246,10th,Male,90.4,95.6,87.1,86.8,90.6,3.2,71.1,89.8,Excellent
ST247,10th,Male,81.9,72.9,72.9,75.2,92.3,1.5,70.1,73.7,Good
ST248,10th,Male,65.6,56.9,61.2,53.0,52.1,2.9,63.5,57.0,Low
ST249,9th,Female,87.0,57.7,62.7,64.7,77.1,2.9,60.8,61.7,Good
ST250,10th,Female,80.1,53.8,88.0,68.5,91.7,2.9,42.7,70.1,Good
ST251,10th,Female,79.9,68.0,65.5,65.3,89.8,2.3,57.1,66.3,Average
ST252,10th,Female,59.2,64.1,72.3,67.2,85.0,2.3,48.7,67.9,Low
ST253,10th,Male,90.0,82.4,57.5,70.0,43.2,1.9,85.1,70.0,Excellent
ST254,8th,Female,83.5,75.3,84.7,75.3,83.8,3.4,72.3,78.5,Good
ST255,8th,Female,100.0,69.8,75.2,65.7,72.4,3.8,68.5,70.2,Excellent
ST256,10th,Female,81.3,84.3,51.7,54.8,87.0,1.3,61.4,63.6,Good
ST257,9th,Female,87.7,74.4,74.4,70.6,78.1,2.7,70.4,73.2,Good
ST258,8th,Female,90.3,70.6,69.4,75.1,74.8,3.0,59.8,71.7,Excellent
ST259,10th,Male,64.5,71.6,77.4,82.6,82.7,3.0,72.1,77.2,Low
ST260,8th,Male,100.0,85.3,92.4,98.8,72.9,3.0,72.9,92.1,Excellent
ST261,8th,Female,77.7,80.4,61.0,80.8,74.7,2.3,59.7,74.1,Average
ST262,9th,Male,86.9,85.5,92.3,88.6,68.3,3.1,59.4,88.8,Good
ST263,10th,Female,88.4,83.9,78.0,78.9,55.7,3.5,81.5,80.3,Good
ST264,10th,Female,73.9,87.6,97.4,77.4,81.8,3.0,69.4,87.5,Average
ST265,9th,Male,100.0,68.2,67.3,68.1,65.3,3.4,60.6,67.9,Excellent
ST266,9th,Male,84.7,93.5,85.3,96.8,72.6,4.0,65.6,91.9,Good
ST267,10th,Female,79.9,63.0,59.0,64.2,78.4,0.6,57.9,62.1,Average
ST268,10th,Female,83.4,65.9,67.9,59.4,50.0,3.9,69.2,64.4,Good
ST269,9th,Female,89.6,66.0,66.0,75.0,52.7,3.2,80.0,69.0,Good
ST270,8th,Male,82.1,67.1,60.7,67.9,71.4,1.5,69.7,65.2,Good
ST271,8th,Female,90.8,87.0,76.6,88.5,80.5,3.8,98.4,84.0,Excellent
ST272,9th,Female,65.2,60.1,60.5,63.8,83.9,2.3,75.1,61.5,Low
ST273,8th,Female,74.5,63.9,75.2,73.8,55.9,2.5,72.8,70.9,Average
ST274,9th,Male,60.6,60.8,56.9,62.2,82.6,2.2,59.1,60.0,Low
ST275,8th,Female,100.0,85.4,89.6,77.7,72.1,3.2,67.1,84.2,Excellent
ST276,8th,Female,100.0,77.4,78.4,82.6,64.4,1.9,60.7,79.5,Excellent
ST277,10th,Male,88.3,61.9,54.5,64.8,67.2,3.9,44.0,60.4,Good
ST278,10th,Female,71.9,72.8,83.3,69.6,84.6,2.6,81.7,75.2,Average
ST279,8th,Female,100.0,81.7,73.6,75.6,78.3,2.4,63.9,77.0,Excellent
ST280,8th,Male,76.0,80.4,84.2,76.7,75.6,3.7,60.9,80.4,Average
ST281,10th,Female,79.9,83.1,77.3,73.2,77.9,2.4,72.5,77.9,Average
ST282,10th,Male,83.6,82.6,76.2,87.6,86.1,3.9,76.1,82.1,Good
ST283,10th,Male,86.5,47.0,65.3,61.9,73.8,4.0,66.2,58.1,Good
ST284,9th,Female,88.4,64.9,64.7,73.6,75.7,1.2,70.0,67.7,Good
ST285,8th,Female,88.8,85.5,91.6,86.4,88.7,4.1,79.0,87.9,Good
ST286,10th,Female,80.6,80.8,79.9,64.5,71.0,1.0,65.7,75.1,Good
ST287,8th,Female,88.7,74.3,74.4,69.6,82.4,4.2,73.6,72.8,Good
ST288,9th,Male,80.1,71.8,74.8,87.4,69.0,5.2,50.1,78.0,Good
ST289,9th,Female,87.8,69.2,75.0,67.2,70.0,3.8,55.1,70.5,Good
ST290,10th,Male,87.0,58.8,67.2,58.2,73.8,0.5,77.3,61.4,Good
ST291,9th,Female,89.6,61.8,76.7,81.4,81.2,4.1,54.5,73.3,Good
ST292,8th,Female,88.4,100.0,96.2,100.0,89.3,5.5,72.8,98.7,Good
ST293,10th,Female,77.6,55.1,64.0,75.6,76.2,2.4,68.2,64.9,Average
ST294,8th,Male,86.6,76.3,66.7,59.4,57.0,2.8,65.6,67.5,Good
ST295,8th,Female,88.5,64.2,50.8,55.0,82.6,1.4,60.1,56.7,Good
ST296,9th,Female,69.1,78.6,76.1,67.3,100.0,3.2,80.9,74.0,Low
ST297,9th,Female,79.3,99.0,80.2,89.2,76.3,4.3,90.8,89.5,Average
ST298,9th,Female,88.1,74.0,72.9,76.5,54.5,3.6,73.6,74.5,Good
ST299,9th,Male,99.1,100.0,93.6,93.8,77.0,6.6,73.9,95.8,Excellent
ST300,9th,Female,90.2,78.8,80.2,86.6,75.0,2.8,61.8,81.9,Excellent
